CropType,Bu_t
Oats,64.8
Canola,44.092
Barley,45.9
Rye,39.368
Spring Wheat,36.744
Mustard,44.092
Lentils,36.744
Peas,36.744
Soybeans,36.744
Flaxseed,39.368
Winter Wheat,36.744
Durum,36.744
Chickpeas,36.744
